Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
1,Mikal Bridges,28,NYK,SF,51,51,1955,13.7,.583,.441,.081,2.7,6.5,4.6,11.8,1.3,1.3,9.1,19.4,2.4,1.1,3.4,.084,0.5,-1.4,-0.9,0.6,,bridgmi01
2,Josh Hart,29,NYK,SG,50,50,1879,18.0,.647,.335,.263,6.9,22.2,14.7,20.1,2.0,0.9,14.7,14.9,4.8,2.3,7.1,.182,2.3,1.5,3.8,2.7,,hartjo01
3,Anthony Edwards,23,MIN,SG,49,49,1798,18.8,.588,.482,.258,2.3,14.7,8.7,21.3,1.6,1.7,13.1,30.9,2.0,2.3,4.4,.117,3.5,-0.3,3.2,2.4,,edwaran01
4,OG Anunoby,27,NYK,PF,49,49,1778,14.4,.590,.450,.191,4.2,10.5,7.4,7.5,1.9,2.2,8.6,18.1,2.4,1.7,4.0,.108,0.2,-0.4,-0.2,0.8,,anunoog01
5,Jalen Brunson,28,NYK,PG,50,50,1764,22.4,.605,.317,.382,1.5,7.8,4.7,32.5,1.3,0.2,10.1,29.4,6.1,1.0,7.1,.192,5.0,-1.7,3.2,2.3,,brunsja01
6,Jayson Tatum,26,BOS,PF,48,48,1751,21.9,.587,.505,.325,1.7,24.4,13.0,25.6,1.7,1.3,11.1,30.5,3.6,2.9,6.5,.178,4.5,0.9,5.4,3.3,,tatumja01
7,Tyler Herro,25,MIA,SG,47,47,1670,19.3,.613,.551,.236,1.1,15.8,8.5,26.4,1.0,0.3,11.5,27.3,3.1,1.4,4.6,.131,4.0,-1.1,3.0,2.1,,herroty01
8,Domantas Sabonis,28,SAC,C,46,46,1666,23.6,.669,.182,.324,12.0,31.4,21.7,26.7,0.8,1.2,16.2,21.6,5.6,1.9,7.6,.218,4.8,1.0,5.8,3.3,,sabondo01
9,Rudy Gobert,32,MIN,C,50,50,1665,16.6,.676,.000,.539,11.5,22.8,17.3,8.1,1.0,4.3,14.5,12.1,3.6,2.7,6.3,.183,-0.3,1.3,1.1,1.3,,goberru01
10,Michael Porter Jr.,26,DEN,SF,50,50,1663,16.7,.627,.469,.191,5.7,15.1,10.6,8.9,0.9,1.3,8.2,20.3,3.3,1.0,4.3,.125,2.1,-1.9,0.2,0.9,,portemi01
11,De'Aaron Fox,27,SAC,PG,45,45,1663,19.0,.567,.324,.279,3.0,11.9,7.4,25.8,1.9,1.2,11.8,28.8,2.3,1.4,3.7,.107,2.1,-0.9,1.2,1.3,,foxde01
12,Jalen Green,22,HOU,SG,50,50,1655,15.1,.552,.463,.228,1.8,12.5,7.0,13.6,1.3,0.9,11.7,27.2,1.3,2.0,3.3,.096,1.2,-0.7,0.6,1.1,,greenja05
13,Trae Young,26,ATL,PG,46,46,1653,17.7,.561,.491,.403,1.4,8.4,4.8,47.2,1.6,0.6,18.4,28.5,2.2,0.9,3.1,.091,2.7,-2.4,0.3,0.9,,youngtr01
14,Cade Cunningham,23,DET,PG,46,46,1639,19.7,.549,.303,.227,2.9,16.7,9.8,44.3,1.2,2.0,16.3,32.9,1.6,1.6,3.2,.095,3.4,-0.4,3.0,2.1,,cunnica01
15,Tyrese Haliburton,24,IND,PG,48,48,1634,19.7,.592,.575,.233,2.1,9.6,5.9,35.0,1.8,1.8,10.6,21.5,4.4,1.2,5.6,.164,4.4,-0.5,3.9,2.5,,halibty01
