Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
Mikal Bridges,28,NYK,SF,51,51,1955,13.7,0.583,0.441,0.081,2.7,6.5,4.6,11.8,1.3,1.3,9.1,19.4,2.4,1.1,3.4,0.084,0.5,-1.4,-0.9,0.6,7.5,15.1,0.494,2.4,6.6,0.36,5.1,8.4,0.6,0.573,0.9,1.2,0.742,0.9,2.2,3.1,3.3,1,0.5,1.6,1.5,18.2,bridgmi01
Josh Hart,29,NYK,SG,50,50,1879,18,0.647,0.335,0.263,6.9,22.2,14.7,20.1,2,0.9,14.7,14.9,4.8,2.3,7.1,0.182,2.3,1.5,3.8,2.7,5.5,9.9,0.558,1.1,3.3,0.343,4.4,6.6,0.666,0.615,2.1,2.6,0.815,2.2,7.4,9.7,5.8,1.5,0.4,1.9,2.6,14.3,hartjo01
Anthony Edwards,23,MIN,SG,49,49,1798,18.8,0.588,0.482,0.258,2.3,14.7,8.7,21.3,1.6,1.7,13.1,30.9,2,2.3,4.4,0.117,3.5,-0.3,3.2,2.4,9,20.2,0.446,4.1,9.8,0.421,4.9,10.5,0.469,0.547,4.3,5.2,0.832,0.8,4.9,5.7,4.5,1.2,0.7,3.4,2,26.5,edwaran01
OG Anunoby,27,NYK,PF,49,49,1778,14.4,0.59,0.45,0.191,4.2,10.5,7.4,7.5,1.9,2.2,8.6,18.1,2.4,1.7,4,0.108,0.2,-0.4,-0.2,0.8,6.2,12.8,0.482,2.1,5.8,0.365,4.1,7,0.577,0.564,1.9,2.4,0.792,1.3,3.4,4.7,2,1.4,0.9,1.3,2.3,16.4,anunoog01
Jalen Brunson,28,NYK,PG,50,50,1764,22.4,0.605,0.317,0.382,1.5,7.8,4.7,32.5,1.3,0.2,10.1,29.4,6.1,1,7.1,0.192,5,-1.7,3.2,2.3,9,18.4,0.489,2.3,5.8,0.397,6.7,12.6,0.532,0.552,5.7,7,0.813,0.4,2.5,2.9,7.5,1,0.1,2.4,2.2,26.1,brunsja01
Jayson Tatum,26,BOS,PF,48,48,1751,21.9,0.587,0.505,0.325,1.7,24.4,13,25.6,1.7,1.3,11.1,30.5,3.6,2.9,6.5,0.178,4.5,0.9,5.4,3.3,9,19.9,0.452,3.6,10.1,0.354,5.4,9.9,0.552,0.541,5.2,6.5,0.801,0.6,8.2,8.8,5.7,1.3,0.5,2.8,2.2,26.8,tatumja01
Tyler Herro,25,MIA,SG,47,47,1670,19.3,0.613,0.551,0.236,1.1,15.8,8.5,26.4,1,0.3,11.5,27.3,3.1,1.4,4.6,0.131,4,-1.1,3,2.1,8.2,17.6,0.467,3.8,9.7,0.391,4.4,7.9,0.561,0.575,3.6,4.1,0.862,0.3,5.2,5.6,5.5,0.7,0.1,2.5,1.4,23.8,herroty01
Domantas Sabonis,28,SAC,C,46,46,1666,23.6,0.669,0.182,0.324,12,31.4,21.7,26.7,0.8,1.2,16.2,21.6,5.6,1.9,7.6,0.218,4.8,1,5.8,3.3,8.1,13.5,0.598,1.1,2.5,0.46,6.9,11,0.629,0.64,3.3,4.4,0.766,4,10.3,14.3,6.5,0.6,0.4,3,3.5,20.6,sabondo01
Rudy Gobert,32,MIN,C,50,50,1665,16.6,0.676,0,0.539,11.5,22.8,17.3,8.1,1,4.3,14.5,12.1,3.6,2.7,6.3,0.183,-0.3,1.3,1.1,1.3,4.2,6.4,0.652,0,0,,4.2,6.4,0.652,0.652,2.4,3.4,0.686,3.3,7,10.3,1.9,0.7,1.5,1.3,2.4,10.7,goberru01
Michael Porter Jr.,26,DEN,SF,50,50,1663,16.7,0.627,0.469,0.191,5.7,15.1,10.6,8.9,0.9,1.3,8.2,20.3,3.3,1,4.3,0.125,2.1,-1.9,0.2,0.9,6.9,13.5,0.513,2.6,6.3,0.408,4.3,7.2,0.606,0.609,1.9,2.6,0.744,1.6,4.8,6.4,2.2,0.6,0.5,1.3,1.9,18.3,portemi01
