Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Shai Gilgeous-Alexander,26,OKC,PG,47,47,34.1,11.4,21.5,.533,2.0,5.7,.350,9.5,15.8,.598,.579,7.6,8.4,.899,0.9,4.3,5.2,6.0,2.0,1.0,2.7,2.2,32.5,,gilgesh01
2,Giannis Antetokounmpo,30,MIL,PF,41,41,34.9,12.7,20.9,.608,0.1,0.8,.188,12.6,20.1,.624,.611,6.2,10.7,.577,2.3,9.9,12.2,5.9,0.8,1.3,3.4,2.4,31.8,,antetgi01
3,Nikola Jokić,29,DEN,C,44,44,36.4,11.2,19.6,.571,2.0,4.3,.466,9.2,15.3,.600,.622,5.1,6.3,.815,3.1,9.8,12.9,10.3,1.8,0.7,3.1,2.1,29.5,,jokicni01
4,LaMelo Ball,23,CHO,PG,31,31,33.3,9.7,23.3,.419,4.1,12.3,.337,5.6,11.0,.510,.508,4.5,5.5,.820,1.0,4.3,5.3,7.3,1.4,0.3,3.7,3.5,28.2,,ballla01
5,Luka Dončić,25,DAL,PG,22,22,35.7,9.8,21.2,.464,3.4,9.6,.354,6.4,11.5,.555,.544,5.1,6.6,.767,0.7,7.6,8.3,7.8,2.0,0.4,3.4,2.6,28.1,,doncilu01
6,Tyrese Maxey,24,PHI,PG,42,42,38.0,9.6,21.6,.446,3.3,9.6,.347,6.3,12.0,.525,.523,5.2,5.9,.871,0.3,3.2,3.5,6.2,1.9,0.4,2.5,2.3,27.8,,maxeyty01
7,Kevin Durant,36,PHO,PF,39,39,36.2,9.8,18.6,.524,2.4,5.9,.398,7.4,12.7,.583,.587,5.0,6.1,.827,0.4,5.7,6.1,4.2,0.8,1.3,3.0,1.7,26.9,,duranke01
8,Jayson Tatum,26,BOS,PF,48,48,36.5,9.0,19.9,.452,3.6,10.1,.354,5.4,9.9,.552,.541,5.2,6.5,.801,0.6,8.2,8.8,5.7,1.3,0.5,2.8,2.2,26.8,,tatumja01
9,Anthony Edwards,23,MIN,SG,49,49,36.7,9.0,20.2,.446,4.1,9.8,.421,4.9,10.5,.469,.547,4.3,5.2,.832,0.8,4.9,5.7,4.5,1.2,0.7,3.4,2.0,26.5,,edwaran01
10,Devin Booker,28,PHO,SG,44,44,37.1,8.5,18.9,.451,2.7,7.8,.345,5.8,11.1,.527,.523,6.3,7.1,.894,1.0,3.1,4.0,6.7,1.1,0.3,2.6,2.4,26.1,,bookede01
11,Jalen Brunson,28,NYK,PG,50,50,35.3,9.0,18.4,.489,2.3,5.8,.397,6.7,12.6,.532,.552,5.7,7.0,.813,0.4,2.5,2.9,7.5,1.0,0.1,2.4,2.2,26.1,,brunsja01
12,Anthony Davis,31,LAL,C,42,42,34.3,9.5,18.0,.528,0.7,2.2,.298,8.9,15.8,.560,.546,6.0,7.6,.788,2.8,9.0,11.9,3.4,1.3,2.1,2.2,2.0,25.7,,davisan02
13,Cade Cunningham,23,DET,PG,46,46,35.6,9.5,21.0,.455,2.3,6.3,.356,7.3,14.6,.498,.509,4.0,4.8,.836,0.9,5.4,6.3,9.5,0.9,0.8,4.5,2.6,25.3,,cunnica01
14,De'Aaron Fox,27,SAC,PG,45,45,37.0,9.2,19.6,.469,2.0,6.4,.322,7.2,13.3,.539,.521,4.5,5.5,.829,1.0,4.0,5.0,6.1,1.5,0.4,3.0,2.6,25.0,,foxde01
15,Damian Lillard,34,MIL,PG,40,40,36.5,7.7,17.3,.446,3.4,8.9,.380,4.3,8.4,.515,.543,6.2,6.8,.922,0.5,4.1,4.6,7.3,1.2,0.2,2.8,1.8,25.0,,lillada01
16,Franz Wagner,23,ORL,SF,31,31,33.1,8.8,19.2,.460,2.0,6.5,.308,6.8,12.7,.537,.512,5.3,6.0,.872,0.9,4.5,5.4,5.2,1.5,0.5,2.4,2.5,24.9,,wagnefr01
17,Joel Embiid,30,PHI,C,14,14,29.9,7.9,17.3,.459,1.2,3.8,.321,6.7,13.5,.497,.494,7.6,8.6,.884,1.9,6.3,8.1,4.3,0.9,0.9,3.3,2.2,24.7,,embiijo01
18,Cam Thomas,23,BRK,SG,19,17,32.3,7.9,17.7,.448,2.8,7.6,.375,5.1,10.2,.503,.528,5.9,6.8,.876,0.5,3.1,3.6,3.4,0.7,0.1,2.7,1.9,24.7,,thomaca02
19,Victor Wembanyama,21,SAS,C,41,41,33.1,9.0,18.9,.477,3.2,9.0,.358,5.8,9.9,.585,.562,3.4,4.0,.843,1.7,9.1,10.9,3.7,1.1,3.9,3.4,2.2,24.6,,wembavi01
20,Kyrie Irving,32,DAL,SG,40,40,36.1,9.0,18.6,.481,2.9,7.1,.411,6.0,11.5,.524,.559,3.7,4.1,.902,1.1,3.6,4.8,4.8,1.2,0.4,2.3,2.1,24.5,,irvinky01
21,Karl-Anthony Towns,29,NYK,C,46,46,34.7,8.8,16.5,.532,2.0,4.6,.423,6.8,11.9,.575,.592,4.8,5.7,.840,3.2,10.4,13.6,3.3,1.0,0.8,2.5,3.5,24.3,,townska01
22,LeBron James,40,LAL,SF,45,45,34.6,9.3,18.1,.514,2.1,5.5,.381,7.2,12.6,.572,.572,3.4,4.4,.765,0.9,6.7,7.6,9.1,0.9,0.5,3.8,1.4,24.1,,jamesle01
23,Zach LaVine,29,CHI,SF,42,42,34.1,8.6,16.9,.511,3.2,7.3,.446,5.4,9.6,.560,.607,3.5,4.3,.797,0.3,4.5,4.8,4.5,0.9,0.2,2.9,1.5,24.0,,lavinza01
24,Norman Powell,31,LAC,SG,41,41,33.2,8.3,16.7,.499,3.4,7.8,.434,5.0,8.9,.555,.600,3.9,4.7,.829,0.4,3.2,3.6,2.2,1.3,0.2,2.0,1.9,24.0,,powelno01
25,Tyler Herro,25,MIA,SG,47,47,35.5,8.2,17.6,.467,3.8,9.7,.391,4.4,7.9,.561,.575,3.6,4.1,.862,0.3,5.2,5.6,5.5,0.7,0.1,2.5,1.4,23.8,,herroty01
26,Donovan Mitchell,28,CLE,SG,48,48,31.3,8.4,18.6,.451,3.7,9.3,.395,4.7,9.3,.507,.549,3.4,4.1,.837,0.7,3.8,4.4,4.7,1.4,0.2,2.0,2.0,23.8,,mitchdo01
27,Jaren Jackson Jr.,25,MEM,C,48,48,29.7,8.4,16.9,.497,2.0,5.4,.362,6.5,11.5,.561,.555,4.5,5.7,.781,1.4,4.7,6.1,2.2,1.3,1.6,2.2,3.4,23.3,,jacksja02
28,Jaylen Brown,28,BOS,SF,44,44,35.4,8.6,18.7,.460,2.0,6.1,.321,6.6,12.6,.528,.513,4.0,5.4,.739,1.5,4.7,6.1,4.8,1.2,0.3,2.6,2.6,23.1,,brownja02
29,Trae Young,26,ATL,PG,46,46,35.9,7.0,17.4,.404,2.9,8.6,.343,4.1,8.9,.463,.488,6.0,7.0,.858,0.5,2.7,3.2,11.5,1.3,0.2,4.6,2.0,23.0,,youngtr01
30,Zion Williamson,24,NOP,PF,14,14,28.5,8.7,17.0,.513,0.1,0.8,.182,8.6,16.2,.529,.517,5.4,8.3,.647,3.0,5.0,8.0,5.0,1.1,1.2,3.1,2.9,22.9,,willizi01
31,Trey Murphy III,24,NOP,SF,34,32,35.4,7.6,16.1,.473,3.3,8.7,.382,4.3,7.4,.579,.576,4.1,4.6,.890,0.9,4.1,5.0,3.1,1.2,0.8,1.6,2.3,22.6,,murphtr02
32,Paolo Banchero,22,ORL,PF,17,17,33.8,8.0,19.1,.420,1.6,5.5,.287,6.4,13.5,.474,.461,4.9,7.9,.627,1.3,6.2,7.5,4.8,0.7,0.7,3.3,2.2,22.5,,banchpa01
33,Brandon Ingram,27,NOP,SF,18,18,33.1,8.6,18.5,.465,2.4,6.4,.374,6.2,12.1,.514,.530,2.6,3.1,.855,0.9,4.6,5.6,5.2,0.9,0.6,3.8,2.5,22.2,,ingrabr01
34,Stephen Curry,36,GSW,PG,40,40,31.8,7.4,17.0,.437,4.2,10.5,.395,3.3,6.5,.504,.559,3.2,3.4,.941,0.5,4.0,4.5,6.2,1.1,0.5,2.9,1.2,22.1,,curryst01
35,CJ McCollum,33,NOP,PG,37,37,33.5,8.3,18.5,.448,3.1,8.3,.373,5.2,10.2,.509,.531,2.4,3.4,.712,0.7,3.0,3.7,3.8,0.8,0.5,1.7,2.4,22.1,,mccolcj01
